mode,rolling_window_years,use_sample_weight,l1_ratio,c_value,min_recall,threshold,top1,top3,auc,pr_auc,precision,recall,f1,n_folds,backtest_hit1,backtest_hit3,backtest_n,backtest_w_hit1,backtest_w_hit3,top1_std,top3_std,f1_std,auc_std,pr_auc_std,top1_min,top3_min,f1_min,auc_min
expanding,5,True,0.8,0.05,0.7,0.1,0.9090909090909091,0.9090909090909091,0.4810606060606061,0.17806965761511218,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.28747978728803447,0.28747978728803447,0.13995516573871877,0.05989162235167384,0.11121492257458612,0.0,0.0,0.14285714285714285,0.2916666666666667
expanding,5,True,0.8,0.05,0.8,0.1,0.9090909090909091,0.9090909090909091,0.4810606060606061,0.17806965761511218,0.17597175551721006,1.0,0.28591963591963593,11,-1,-1,-1,0.0,0.0,0.28747978728803447,0.28747978728803447,0.13995516573871877,0.05989162235167384,0.11121492257458612,0.0,0.0,0.14285714285714285,0.2916666666666667
expanding,5,True,1.0,0.1,0.6,0.12272727272727274,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25335270789816244,1.0,0.35337995337995337,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.24726608372459047,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,True,1.0,0.1,0.7,0.12272727272727274,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25335270789816244,1.0,0.35337995337995337,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.24726608372459047,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,True,1.0,0.1,0.8,0.12272727272727274,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25335270789816244,1.0,0.35337995337995337,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.24726608372459047,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,True,0.5,0.05,0.6,0.11818181818181821,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.2523120818575364,1.0,0.35185370185370185,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2476303830991402,0.18140542718404298,0.26552199946872834,0.0,0.0,0.15384615384615385,0.33333333333333337
expanding,5,True,0.5,0.05,0.7,0.11818181818181821,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.2523120818575364,1.0,0.35185370185370185,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2476303830991402,0.18140542718404298,0.26552199946872834,0.0,0.0,0.15384615384615385,0.33333333333333337
expanding,5,True,0.5,0.05,0.8,0.11818181818181821,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.2523120818575364,1.0,0.35185370185370185,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2476303830991402,0.18140542718404298,0.26552199946872834,0.0,0.0,0.15384615384615385,0.33333333333333337
expanding,5,False,0.5,0.05,0.6,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,False,0.5,0.05,0.7,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,False,0.5,0.05,0.8,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.5627705627705628,0.288928243473698,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18140542718404298,0.26552199946872834,0.0,0.0,0.14285714285714285,0.33333333333333337
expanding,5,False,1.0,0.1,0.6,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.558982683982684,0.28791814246359704,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18651962389521287,0.2662167571217163,0.0,0.0,0.14285714285714285,0.2916666666666667
expanding,5,False,1.0,0.1,0.7,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.558982683982684,0.28791814246359704,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18651962389521287,0.2662167571217163,0.0,0.0,0.14285714285714285,0.2916666666666667
expanding,5,False,1.0,0.1,0.8,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.558982683982684,0.28791814246359704,0.25172933127478586,1.0,0.3508547008547009,11,-1,-1,-1,0.0,0.0,0.38569460791993504,0.28747978728803447,0.2484479948406216,0.18651962389521287,0.2662167571217163,0.0,0.0,0.14285714285714285,0.2916666666666667
expanding,5,False,1.0,0.2,0.6,0.14545454545454548,0.7272727272727273,0.8181818181818182,0.6718614718614718,0.4646464646464646,0.36767676767676766,1.0,0.4732388823297914,11,-1,-1,-1,0.0,0.0,0.4453617714151233,0.38569460791993504,0.2810523758421252,0.23749234965125907,0.34978165970848385,0.0,0.0,0.18181818181818182,0.33333333333333337
