mode,rolling_window_years,use_sample_weight,l1_ratio,c_value,min_recall,threshold,top1,top3,auc,pr_auc,precision,recall,f1,n_folds
rolling,5,False,0.2,0.4,0.8,0.35454545454545466,0.18181818181818182,0.8181818181818182,0.7363242817788272,0.48737373737373735,0.40151515151515144,0.8181818181818182,0.503030303030303,11
rolling,5,True,1.0,0.4,0.6,0.2590909090909091,0.5454545454545454,0.7272727272727273,0.6892857142857144,0.5075757575757576,0.4651515151515152,0.8181818181818182,0.5471861471861472,11
rolling,5,True,1.0,0.4,0.7,0.2590909090909091,0.5454545454545454,0.7272727272727273,0.6892857142857144,0.5075757575757576,0.4651515151515152,0.8181818181818182,0.5471861471861472,11
rolling,5,True,1.0,0.4,0.8,0.2590909090909091,0.5454545454545454,0.7272727272727273,0.6892857142857144,0.5075757575757576,0.4651515151515152,0.8181818181818182,0.5471861471861472,11
rolling,5,True,0.5,0.2,0.6,0.25000000000000006,0.5454545454545454,0.7272727272727273,0.6930735930735931,0.5085858585858586,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,True,0.5,0.2,0.7,0.25000000000000006,0.5454545454545454,0.7272727272727273,0.6930735930735931,0.5085858585858586,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,True,0.5,0.2,0.8,0.25000000000000006,0.5454545454545454,0.7272727272727273,0.6930735930735931,0.5085858585858586,0.40454545454545454,0.8181818181818182,0.5017316017316017,11
rolling,5,True,0.8,0.4,0.6,0.30909090909090914,0.45454545454545453,0.7272727272727273,0.7097402597402597,0.5454545454545454,0.4954545454545455,0.8181818181818182,0.5818181818181818,11
rolling,5,True,0.8,0.4,0.7,0.30909090909090914,0.45454545454545453,0.7272727272727273,0.7097402597402597,0.5454545454545454,0.4954545454545455,0.8181818181818182,0.5818181818181818,11
rolling,5,True,0.8,0.4,0.8,0.30909090909090914,0.45454545454545453,0.7272727272727273,0.7097402597402597,0.5454545454545454,0.4954545454545455,0.8181818181818182,0.5818181818181818,11
rolling,5,True,0.5,0.4,0.6,0.32272727272727275,0.36363636363636365,0.7272727272727273,0.6824675324675326,0.5499999999999999,0.5227272727272727,0.8181818181818182,0.6121212121212122,11
rolling,5,True,0.5,0.4,0.7,0.32272727272727275,0.36363636363636365,0.7272727272727273,0.6824675324675326,0.5499999999999999,0.5227272727272727,0.8181818181818182,0.6121212121212122,11
rolling,5,True,0.5,0.4,0.8,0.32272727272727275,0.36363636363636365,0.7272727272727273,0.6824675324675326,0.5499999999999999,0.5227272727272727,0.8181818181818182,0.6121212121212122,11
rolling,5,True,0.2,0.1,0.6,0.25454545454545463,0.36363636363636365,0.7272727272727273,0.6718614718614718,0.5464646464646464,0.428030303030303,0.9090909090909091,0.5370851370851372,11
rolling,5,True,0.2,0.1,0.7,0.25454545454545463,0.36363636363636365,0.7272727272727273,0.6718614718614718,0.5464646464646464,0.428030303030303,0.9090909090909091,0.5370851370851372,11
rolling,5,True,0.2,0.1,0.8,0.25454545454545463,0.36363636363636365,0.7272727272727273,0.6718614718614718,0.5464646464646464,0.428030303030303,0.9090909090909091,0.5370851370851372,11
rolling,5,True,0.2,0.2,0.6,0.30909090909090914,0.36363636363636365,0.7272727272727273,0.6900432900432901,0.551010101010101,0.4348484848484848,0.8181818181818182,0.5363636363636363,11
rolling,5,True,0.2,0.2,0.7,0.30909090909090914,0.36363636363636365,0.7272727272727273,0.6900432900432901,0.551010101010101,0.4348484848484848,0.8181818181818182,0.5363636363636363,11
rolling,5,True,0.2,0.2,0.8,0.30909090909090914,0.36363636363636365,0.7272727272727273,0.6900432900432901,0.551010101010101,0.4348484848484848,0.8181818181818182,0.5363636363636363,11
rolling,5,False,0.0,0.1,0.6,0.3272727272727273,0.36363636363636365,0.7272727272727273,0.7536796536796537,0.5813131313131312,0.41818181818181815,0.9090909090909091,0.5303030303030303,11
rolling,5,False,0.0,0.1,0.7,0.3272727272727273,0.36363636363636365,0.7272727272727273,0.7536796536796537,0.5813131313131312,0.41818181818181815,0.9090909090909091,0.5303030303030303,11
rolling,5,False,0.0,0.1,0.8,0.3272727272727273,0.36363636363636365,0.7272727272727273,0.7536796536796537,0.5813131313131312,0.41818181818181815,0.9090909090909091,0.5303030303030303,11
rolling,5,False,0.0,0.05,0.6,0.3181818181818183,0.36363636363636365,0.7272727272727273,0.771861471861472,0.5964646464646465,0.38484848484848483,0.9090909090909091,0.49264069264069266,11
rolling,5,False,0.0,0.05,0.7,0.3181818181818183,0.36363636363636365,0.7272727272727273,0.771861471861472,0.5964646464646465,0.38484848484848483,0.9090909090909091,0.49264069264069266,11
rolling,5,False,0.0,0.05,0.8,0.3181818181818183,0.36363636363636365,0.7272727272727273,0.771861471861472,0.5964646464646465,0.38484848484848483,0.9090909090909091,0.49264069264069266,11
rolling,5,True,1.0,0.8,0.6,0.32272727272727275,0.2727272727272727,0.7272727272727273,0.6461038961038962,0.4893939393939393,0.41666666666666663,0.8181818181818182,0.5363636363636363,11
rolling,5,True,1.0,0.8,0.7,0.32272727272727275,0.2727272727272727,0.7272727272727273,0.6461038961038962,0.4893939393939393,0.41666666666666663,0.8181818181818182,0.5363636363636363,11
rolling,5,True,1.0,0.8,0.8,0.32272727272727275,0.2727272727272727,0.7272727272727273,0.6461038961038962,0.4893939393939393,0.41666666666666663,0.8181818181818182,0.5363636363636363,11
rolling,5,False,0.8,0.8,0.6,0.3136363636363637,0.2727272727272727,0.7272727272727273,0.6849468713105078,0.4939393939393939,0.37878787878787873,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.8,0.8,0.7,0.3136363636363637,0.2727272727272727,0.7272727272727273,0.6849468713105078,0.4939393939393939,0.37878787878787873,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.8,0.8,0.8,0.3136363636363637,0.2727272727272727,0.7272727272727273,0.6849468713105078,0.4939393939393939,0.37878787878787873,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.5,0.4,0.6,0.32727272727272727,0.18181818181818182,0.7272727272727273,0.6545060999606455,0.48737373737373735,0.4393939393939394,0.8181818181818182,0.5424242424242425,11
rolling,5,False,0.5,0.4,0.7,0.32727272727272727,0.18181818181818182,0.7272727272727273,0.6545060999606455,0.48737373737373735,0.4393939393939394,0.8181818181818182,0.5424242424242425,11
rolling,5,False,0.5,0.4,0.8,0.32727272727272727,0.18181818181818182,0.7272727272727273,0.6545060999606455,0.48737373737373735,0.4393939393939394,0.8181818181818182,0.5424242424242425,11
rolling,5,True,0.0,0.4,0.6,0.40454545454545465,0.18181818181818182,0.7272727272727273,0.6908697363242817,0.4828282828282827,0.4318181818181818,0.8181818181818182,0.5320346320346321,11
rolling,5,True,0.0,0.4,0.7,0.40454545454545465,0.18181818181818182,0.7272727272727273,0.6908697363242817,0.4828282828282827,0.4318181818181818,0.8181818181818182,0.5320346320346321,11
rolling,5,True,0.0,0.4,0.8,0.40454545454545465,0.18181818181818182,0.7272727272727273,0.6908697363242817,0.4828282828282827,0.4318181818181818,0.8181818181818182,0.5320346320346321,11
rolling,5,False,0.0,0.4,0.6,0.3681818181818182,0.18181818181818182,0.7272727272727273,0.6968909878000787,0.4494949494949495,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.0,0.4,0.7,0.3681818181818182,0.18181818181818182,0.7272727272727273,0.6968909878000787,0.4494949494949495,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.0,0.4,0.8,0.3681818181818182,0.18181818181818182,0.7272727272727273,0.6968909878000787,0.4494949494949495,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,True,0.0,2.0,0.6,0.3954545454545455,0.09090909090909091,0.7272727272727273,0.6802636757182211,0.4364718614718614,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,2.0,0.7,0.3954545454545455,0.09090909090909091,0.7272727272727273,0.6802636757182211,0.4364718614718614,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,2.0,0.8,0.3954545454545455,0.09090909090909091,0.7272727272727273,0.6802636757182211,0.4364718614718614,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,0.8,0.6,0.3772727272727273,0.09090909090909091,0.7272727272727273,0.6726879181424635,0.43737373737373725,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,0.8,0.7,0.3772727272727273,0.09090909090909091,0.7272727272727273,0.6726879181424635,0.43737373737373725,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,0.8,0.8,0.3772727272727273,0.09090909090909091,0.7272727272727273,0.6726879181424635,0.43737373737373725,0.30303030303030304,0.6363636363636364,0.4090909090909091,11
rolling,5,True,0.0,1.2,0.6,0.38181818181818183,0.09090909090909091,0.7272727272727273,0.6635970090515545,0.43434343434343425,0.28787878787878785,0.6363636363636364,0.3939393939393939,11
rolling,5,True,0.0,1.2,0.7,0.38181818181818183,0.09090909090909091,0.7272727272727273,0.6635970090515545,0.43434343434343425,0.28787878787878785,0.6363636363636364,0.3939393939393939,11
rolling,5,True,0.0,1.2,0.8,0.38181818181818183,0.09090909090909091,0.7272727272727273,0.6635970090515545,0.43434343434343425,0.28787878787878785,0.6363636363636364,0.3939393939393939,11
rolling,5,True,0.2,0.4,0.6,0.3636363636363637,0.2727272727272727,0.6363636363636364,0.6915584415584416,0.5227272727272727,0.4651515151515151,0.8181818181818182,0.5515151515151515,11
rolling,5,True,0.2,0.4,0.7,0.3636363636363637,0.2727272727272727,0.6363636363636364,0.6915584415584416,0.5227272727272727,0.4651515151515151,0.8181818181818182,0.5515151515151515,11
rolling,5,True,0.2,0.4,0.8,0.3636363636363637,0.2727272727272727,0.6363636363636364,0.6915584415584416,0.5227272727272727,0.4651515151515151,0.8181818181818182,0.5515151515151515,11
rolling,5,True,0.0,0.05,0.6,0.3272727272727273,0.2727272727272727,0.6363636363636364,0.7173160173160175,0.5282828282828282,0.44040404040404035,0.9090909090909091,0.5484848484848486,11
rolling,5,True,0.0,0.05,0.7,0.3272727272727273,0.2727272727272727,0.6363636363636364,0.7173160173160175,0.5282828282828282,0.44040404040404035,0.9090909090909091,0.5484848484848486,11
rolling,5,True,0.0,0.05,0.8,0.3272727272727273,0.2727272727272727,0.6363636363636364,0.7173160173160175,0.5282828282828282,0.44040404040404035,0.9090909090909091,0.5484848484848486,11
rolling,5,True,0.0,0.1,0.6,0.35000000000000003,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.45454545454545453,0.8181818181818182,0.5380952380952381,11
rolling,5,True,0.0,0.1,0.7,0.35000000000000003,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.45454545454545453,0.8181818181818182,0.5380952380952381,11
rolling,5,True,0.0,0.1,0.8,0.35000000000000003,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.45454545454545453,0.8181818181818182,0.5380952380952381,11
rolling,5,True,0.0,0.2,0.6,0.3590909090909091,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.41666666666666674,0.8181818181818182,0.5168831168831169,11
rolling,5,True,0.0,0.2,0.7,0.3590909090909091,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.41666666666666674,0.8181818181818182,0.5168831168831169,11
rolling,5,True,0.0,0.2,0.8,0.3590909090909091,0.2727272727272727,0.6363636363636364,0.6991341991341992,0.5237373737373737,0.41666666666666674,0.8181818181818182,0.5168831168831169,11
rolling,5,True,0.8,0.8,0.6,0.3727272727272728,0.2727272727272727,0.6363636363636364,0.6370129870129871,0.48636363636363633,0.37121212121212116,0.7272727272727273,0.47575757575757577,11
rolling,5,True,0.8,0.8,0.7,0.3727272727272728,0.2727272727272727,0.6363636363636364,0.6370129870129871,0.48636363636363633,0.37121212121212116,0.7272727272727273,0.47575757575757577,11
rolling,5,True,0.8,0.8,0.8,0.3727272727272728,0.2727272727272727,0.6363636363636364,0.6370129870129871,0.48636363636363633,0.37121212121212116,0.7272727272727273,0.47575757575757577,11
rolling,5,False,1.0,0.8,0.6,0.29545454545454547,0.18181818181818182,0.6363636363636364,0.6394923258559623,0.4666666666666666,0.40151515151515144,0.8181818181818182,0.503030303030303,11
rolling,5,False,1.0,0.8,0.7,0.29545454545454547,0.18181818181818182,0.6363636363636364,0.6394923258559623,0.4666666666666666,0.40151515151515144,0.8181818181818182,0.503030303030303,11
rolling,5,False,1.0,0.8,0.8,0.29545454545454547,0.18181818181818182,0.6363636363636364,0.6394923258559623,0.4666666666666666,0.40151515151515144,0.8181818181818182,0.503030303030303,11
rolling,5,False,0.2,0.8,0.6,0.3454545454545455,0.18181818181818182,0.6363636363636364,0.7068083431719795,0.45707070707070696,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.2,0.8,0.7,0.3454545454545455,0.18181818181818182,0.6363636363636364,0.7068083431719795,0.45707070707070696,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,False,0.2,0.8,0.8,0.3454545454545455,0.18181818181818182,0.6363636363636364,0.7068083431719795,0.45707070707070696,0.39696969696969703,0.8181818181818182,0.496969696969697,11
rolling,5,False,1.0,1.2,0.6,0.3045454545454546,0.18181818181818182,0.6363636363636364,0.6304014167650532,0.4257575757575757,0.36363636363636365,0.8181818181818182,0.4818181818181818,11
rolling,5,False,1.0,1.2,0.7,0.3045454545454546,0.18181818181818182,0.6363636363636364,0.6304014167650532,0.4257575757575757,0.36363636363636365,0.8181818181818182,0.4818181818181818,11
rolling,5,False,1.0,1.2,0.8,0.3045454545454546,0.18181818181818182,0.6363636363636364,0.6304014167650532,0.4257575757575757,0.36363636363636365,0.8181818181818182,0.4818181818181818,11
